Date,"('Close', 'KIJA.JK')","('High', 'KIJA.JK')","('Low', 'KIJA.JK')","('Open', 'KIJA.JK')","('Volume', 'KIJA.JK')",SMA_14,SMA_50,SMA_200,EMA_9,EMA_21,EMA_55,RSI,MACD,Signal_Line,MACD_Histogram,ADX,Volume_Ratio,Momentum,ROC
2022-01-07,162.0,164.0,160.0,162.0,5626100,168.0,170.2,173.12,165.34961398356418,168.09159706955384,168.72185314448552,20.0,-2.181094793836621,-1.0145037822089613,-1.1665910116276599,31.386563570716408,2.315748746138601,-0.052631578947368474,-5.263157894736848
2022-01-10,162.0,164.0,160.0,162.0,1329100,167.35714285714286,170.28,173.05,164.67969118685136,167.5378155177762,168.48178696075388,23.529411764705884,-2.366397731333251,-1.2848825720338193,-1.0815151592994316,37.934182618335456,0.5532683670028764,-0.04705882352941182,-4.705882352941182
2022-01-11,160.0,163.0,159.0,162.0,1442600,166.28571428571428,170.36,172.905,163.7437529494811,166.85255956161473,168.17886599786982,0.0,-2.6441547594991732,-1.5567370095268902,-1.087417749972283,44.766480754981416,0.5931523915644569,-0.05882352941176472,-5.882352941176472
2022-01-12,160.0,167.0,157.0,164.0,3262600,165.5,170.4,172.795,162.99500235958487,166.22959960146795,167.88676364080305,0.0,-2.8316378469853305,-1.8117171770185783,-1.0199206699667522,49.188249462464405,1.3251477926049882,-0.05882352941176472,-5.882352941176472
2022-01-13,160.0,160.0,158.0,160.0,2657800,164.71428571428572,170.38,172.72,162.3960018876679,165.66327236497085,167.6050935107744,0.0,-2.9462569286683618,-2.038625127348535,-0.9076318013198268,52.02488650962776,1.088849514016203,-0.05882352941176472,-5.882352941176472
2022-01-14,160.0,162.0,158.0,159.0,1382700,164.0,170.14,172.64,161.91680151013432,165.14842942270076,167.33348302824675,0.0,-3.00248262595656,-2.23139662707014,-0.77108599888642,53.78740970072239,0.5552855943808809,-0.03614457831325302,-3.6144578313253017
2022-01-17,160.0,164.0,159.0,160.0,1826100,163.28571428571428,169.92,172.54,161.53344120810746,164.68039038427344,167.0715729200951,0.0,-3.0123177719691796,-2.387580856049948,-0.6247369159192315,55.73546164877434,0.7823186810126745,-0.03614457831325302,-3.6144578313253017
2022-01-18,160.0,163.0,159.0,160.0,1901600,162.57142857142858,169.72,172.445,161.22675296648598,164.2549003493395,166.81901674437742,0.0,-2.9856949630392364,-2.507203677447806,-0.4784912855914305,57.26334552959939,0.7989177470990076,-0.03614457831325302,-3.6144578313253017
2022-01-19,160.0,162.0,159.0,162.0,3151800,161.85714285714286,169.52,172.35,160.98140237318879,163.86809122667228,166.57548043207825,0.0,-2.9308116231307224,-2.5919252665843895,-0.3388863565463329,57.17058115112072,1.279020221326743,-0.012345679012345734,-1.2345679012345734
2022-01-20,161.0,161.0,159.0,160.0,2360500,161.5,169.26,172.275,160.98512189855103,163.60735566061115,166.3763561309326,14.285714285714292,-2.7746402129672845,-2.6284682558609687,-0.1461719571063158,54.263312980694664,0.9590148615817143,-0.006172839506172867,-0.6172839506172867
2022-01-21,161.0,161.0,159.0,160.0,1340400,161.14285714285714,169.0,172.205,160.98809751884085,163.3703233278283,166.18434341197073,14.285714285714292,-2.6206638635461843,-2.626907377398012,0.006243513851827753,51.35604481026859,0.5730690876598182,-0.006172839506172867,-0.6172839506172867
2022-01-24,160.0,161.0,157.0,161.0,2624300,160.71428571428572,168.66,172.14,160.7904780150727,163.0639302980257,165.96347400440035,12.5,-2.549934087064713,-2.6115127193313525,0.0615786322666394,48.41486833968036,1.07490502472941,-0.012345679012345734,-1.2345679012345734
2022-01-25,160.0,161.0,158.0,160.0,1392900,160.57142857142858,168.36,172.06,160.63238241205815,162.78539118002334,165.7504927899575,25.0,-2.4654599421055536,-2.582302163886193,0.1168422217806393,46.510106434918455,0.5690462378154899,0.0,0.0
2022-01-26,160.0,161.0,158.0,161.0,2030900,160.42857142857142,168.1,171.95,160.50590592964653,162.5321738000212,165.54511804745903,25.0,-2.371180085603612,-2.540077748229677,0.16889766262606498,44.60534453015655,0.8229880679089765,0.0,0.0
2022-01-27,160.0,160.0,159.0,160.0,1479500,160.28571428571428,167.84,171.845,160.40472474371722,162.30197618183746,165.34707811719264,25.0,-2.270292105887222,-2.486120619761186,0.21582851387396396,40.70924063405266,0.6244763494619457,0.0,0.0
2022-01-28,160.0,161.0,159.0,160.0,3348000,160.14285714285714,167.64,171.755,160.32377979497377,162.0927056198522,165.1561110415786,25.0,-2.1653765422246636,-2.421971804253882,0.25659526202921823,37.137812062624086,1.4467483811585655,0.0,0.0
2022-01-31,160.0,161.0,159.0,160.0,2494500,160.14285714285714,167.4,171.68,160.25902383597904,161.90245965441108,164.9719642186651,50.0,-2.058501083033491,-2.3492776600098035,0.29077657697631265,34.54040946522149,1.042212858763341,0.0,0.0
2022-02-02,160.0,160.0,159.0,159.0,2363700,160.14285714285714,167.16,171.625,160.20721906878325,161.72950877673736,164.7943940679985,50.0,-1.9513080471083981,-2.2696837374295225,0.31837569032112434,33.179865247534416,0.9701270477757917,0.0,0.0
2022-02-03,161.0,168.0,159.0,160.0,11013500,160.21428571428572,166.92,171.56,160.36577525502662,161.66318979703394,164.65887999414142,66.66666666666666,-1.7653156907897767,-2.1688101281015735,0.4034944373117968,34.282622139764996,3.933575487433345,0.006250000000000089,0.6250000000000089
2022-02-04,161.0,162.0,159.0,161.0,3668500,160.28571428571428,166.62,171.5,160.4926202040213,161.6028998154854,164.52820570863636,66.66666666666666,-1.5994776259727246,-2.054943627675804,0.4554660017030794,36.16645259502402,1.294069714324013,0.0,0.0
2022-02-07,161.0,163.0,160.0,160.0,3732500,160.35714285714286,166.36,171.44,160.59409616321705,161.54809074135034,164.40219836189937,66.66666666666666,-1.4513198529568285,-1.9342188727320089,0.48289901977518035,38.98030540887683,1.3621392794255842,0.0,0.0
2022-02-08,161.0,163.0,160.0,161.0,3888100,160.42857142857142,166.18,171.385,160.67527693057366,161.49826431031846,164.28069127754583,66.66666666666666,-1.3187025680816191,-1.811115611801931,0.4924130437203118,41.79415822272964,1.3556243190237525,0.006250000000000089,0.6250000000000089
2022-02-09,161.0,163.0,160.0,161.0,2695100,160.5,166.0,171.335,160.74022154445896,161.45296755483494,164.16352373191918,66.66666666666666,-1.1997721874177785,-1.6888469269251005,0.48907473950732205,44.608011036582454,0.9195939605902926,0.006250000000000089,0.6250000000000089
2022-02-10,161.0,163.0,160.0,162.0,4870500,160.5,165.76,171.27,160.79217723556718,161.41178868621355,164.0505407414935,50.0,-1.092920496727686,-1.5696616408856177,0.4767411441579317,48.89372532229674,1.6174910208575144,0.006250000000000089,0.6250000000000089
2022-02-11,162.0,163.0,161.0,163.0,924400,160.57142857142858,165.58,171.195,161.03374178845377,161.46526244201232,163.977307143583,66.66666666666666,-0.9169777704408375,-1.4391248667966619,0.5221470963558243,53.17943960801102,0.3160909223022936,0.012499999999999956,1.2499999999999956
2022-02-14,161.0,162.0,161.0,162.0,467300,160.64285714285714,165.36,171.135,161.026993430763,161.42296585637482,163.8709747455979,66.66666666666666,-0.8484530957666152,-1.3209905125906527,0.4725374168240375,60.32229675086816,0.16232993655133124,0.006250000000000089,0.6250000000000089
2022-02-15,162.0,163.0,160.0,161.0,3791600,160.78571428571428,165.16,171.05,161.22159474461043,161.47542350579528,163.8041542189694,75.0,-0.7053246116684022,-1.1978573324062025,0.4925327207378003,65.08420151277292,1.27363972885273,0.012499999999999956,1.2499999999999956
2022-02-16,167.0,168.0,161.0,162.0,7928600,161.28571428571428,165.08,171.015,162.37727579568835,161.97765773254116,163.91829156829192,88.88888888888889,-0.18628862427900117,-0.9955435907807623,0.8092549665017611,69.84610627467768,2.4184874616039265,0.043749999999999956,4.374999999999996
2022-02-17,165.0,167.0,163.0,164.0,3775400,161.64285714285714,164.92,170.975,162.9018206365507,162.25241612049197,163.9569240122815,72.72727272727272,0.0629422903341208,-0.7838464145577857,0.8467887048919065,73.74221017078158,1.1407731053841808,0.024844720496894457,2.4844720496894457
2022-02-18,165.0,166.0,163.0,163.0,3955600,162.0,164.76,170.915,163.32145650924056,162.5021964731745,163.9941767261286,72.72727272727272,0.2574913853690646,-0.5755788545724156,0.8330702399414802,77.31363874221014,1.167096700907129,0.024844720496894457,2.4844720496894457
2022-02-21,167.0,168.0,163.0,163.0,4009300,162.5,164.62,170.86,164.05716520739247,162.9110877028859,164.1015275573383,76.92307692307693,0.5665256748082186,-0.3471579486962888,0.9136836235045074,79.91104133961274,1.1381294514734395,0.037267080745341685,3.7267080745341685
2022-02-22,166.0,168.0,165.0,167.0,1548600,162.92857142857142,164.44,170.755,164.44573216591397,163.19189791171445,164.1693301445762,71.42857142857143,0.7224183440290801,-0.13324269015121504,0.8556610341802952,83.99267399267397,0.4464207211167725,0.03105590062111796,3.105590062111796
2022-02-23,167.0,168.0,165.0,166.0,1268100,163.35714285714286,164.3,170.67,164.95658573273118,163.5380890106495,164.27042549655565,71.42857142857143,0.9160958672758568,0.07662502133419932,0.8394708459416574,85.89743589743587,0.36621870022829106,0.037267080745341685,3.7267080745341685
2022-02-24,167.0,174.0,165.0,165.0,6979200,163.78571428571428,164.22,170.515,165.36526858618495,163.85280819149952,164.3679103002501,71.42857142857143,1.0573976775999654,0.27277955258735254,0.7846181250126129,88.09523809523806,1.8811352793725236,0.037267080745341685,3.7267080745341685
