# Stock Price Prediction Results
# Ticker: BMRI.JK
# Model: patchtst
# Period: 2020-01-01 to 2025-05-23
# Lookback: 60 days
# Forecast Days: 20 days
# Generated: 2025-05-23 08:42:34.618577

## Historical Data
Date,Actual,Predicted,Error,Error_Percent
2022-12-09,4251.553466796875,4262.349330782287,10.795863985412325,0.2539275130778478
2022-12-12,4246.41339983259,4250.549903429686,4.136503597096635,0.09741170271504211
2022-12-13,4237.601911272322,4257.152486486931,19.550575214609125,0.4613594109112328
2022-12-14,4229.524658203125,4280.259393585521,50.73473538239614,1.1995375244827235
2022-12-15,4221.447474888393,4283.325074519404,61.877599631010526,1.4657910586142364
2022-12-16,4220.713169642857,4265.09253304963,44.37936340677334,1.0514659874536931
2022-12-19,4211.167375837053,4243.516942416722,32.349566579668135,0.7681852487099973
2022-12-20,4197.215785435268,4271.0864300037765,73.8706445685084,1.7599915835837283
2022-12-21,4185.467145647322,4265.836245664333,80.36910001701108,1.9201942631562874
2022-12-22,4168.578404017857,4298.479743045217,129.90133902736034,3.1162023701450785
2022-12-23,4140.675327845982,4201.918108833968,61.24278098798641,1.4790529596978925
2022-12-26,4115.709368024553,4254.240424880019,138.53105685546598,3.3659096031350173
2022-12-27,4103.226353236607,4258.018424002656,154.7920707660487,3.7724477628183832
2022-12-28,4101.023507254465,4243.422454338624,142.39894708415977,3.472278245473711
2022-12-29,4102.492082868303,4209.018430702609,106.52634783430585,2.596625311701437
2022-12-30,4101.7578125,4258.170824128619,156.41301162861873,3.813316601773858
2023-01-02,4101.023507254465,4257.937651935895,156.91414468143012,3.826219098814196
2023-01-03,4101.023507254465,4239.428961437876,138.40545418341117,3.3749002886372197
2023-01-04,4104.694928850447,4206.186836362207,101.49190751176047,2.472581014447866
2023-01-05,4096.617710658482,4280.489822575978,183.8721119174961,4.488388346296069
2023-01-06,4090.743390764509,4269.620340792007,178.87695002749751,4.372724782281385
2023-01-09,4081.197614397322,4257.341462643125,176.14384824580293,4.3159842989326656
2023-01-10,4059.9031284877233,4220.773052418176,160.86992393045284,3.962407940269634
2023-01-11,4030.5314418247767,4266.2586988135035,235.72725698872682,5.848540332487867
2023-01-12,4009.2369559151784,4254.125210384791,244.88825446961255,6.108101296140839
2023-01-13,3983.5367606026784,4214.532876860473,230.9961162577947,5.798769539228421
2023-01-16,3964.445190429687,4178.920625025819,214.47543459613235,5.409973509379919
2023-01-17,3957.836565290178,4178.0348754937195,220.1983102035415,5.563602907069437
2023-01-18,3945.35360281808,4178.951105051013,233.59750223293258,5.920825501320818
2023-01-19,3940.213553292411,4134.808103765424,194.594550473013,4.938680298442487
2023-01-20,3943.150704520089,4085.06195944866,141.911254928571,3.598930539629036
2023-01-24,3941.6821637834823,4094.209015008991,152.52685122550884,3.8695877771916463
2023-01-25,3932.1363699776784,4096.164613425355,164.0282434476767,4.171479013292915
2023-01-26,3932.1363699776784,4072.0283958760074,139.89202589832894,3.5576595706705634
2023-01-27,3938.744960239955,4028.9753602913097,90.23040005135454,2.290841396490357
2023-01-30,3945.353585379464,4053.816733223491,108.46314784402693,2.7491363067169794
2023-01-31,3965.1794607979914,4084.9438493510384,119.76438855304696,3.020402726714024
2023-02-01,3987.208234514509,4074.280260137244,87.07202562273505,2.1837842545822572
2023-02-02,4002.6283656529017,4042.3690453616146,39.74067970871283,0.9928645899212879
2023-02-03,4024.65713936942,4056.960443021867,32.303303652447084,0.8026349210335055
2023-02-06,4041.5458635602677,4099.381170483942,57.835306923674125,1.43101943850579
2023-02-07,4054.028826032366,4113.017933755158,58.98910772279214,1.4550737119578931
2023-02-08,4073.120431082589,4068.2417099461913,-4.878721136397871,-0.11977846515825122
2023-02-09,4087.806309291295,4115.751992014944,27.945682723649497,0.6836351971993129
2023-02-10,4097.352103097098,4148.994117090613,51.64201399351532,1.2603753032227878
2023-02-13,4110.569353376116,4172.490558911167,61.92120553505083,1.5063899964172447
2023-02-14,4130.395281110491,4143.786604786439,13.391323675948115,0.3242140948879776
2023-02-15,4142.143990652902,4196.698099719465,54.55410906656289,1.3170500395367433
2023-02-16,4146.549752371652,4226.604186037793,80.05443366614054,1.9306275927438894
2023-02-17,4156.829851422991,4234.235774745543,77.40592332255164,1.862138362388193
2023-02-20,4166.375680106027,4203.337868407444,36.96218830141697,0.8871544752410889
2023-02-21,4181.061540876116,4248.457144899955,67.39560402383904,1.6119256644501985
2023-02-22,4189.138776506697,4283.43846021312,94.29968370642382,2.251051796977227
2023-02-23,4193.544503348215,4262.116463389814,68.5719600415996,1.6351790230639092
2023-02-24,4200.887416294643,4243.978409998139,43.09099370349577,1.0257593082916707
2023-02-27,4200.15314592634,4275.3478423259685,75.19469639962881,1.7902846345628831
2023-02-28,4194.27880859375,4293.390798039042,99.11198944529224,2.3630281621293157
2023-03-01,4189.873011997768,4309.212979116576,119.33996711880809,2.848295563542766
2023-03-02,4187.670166015625,4255.112763201035,67.4425971854098,1.6105040395189076
2023-03-03,4178.858607700893,4264.501220560892,85.64261285999874,2.04942595334943
2023-03-06,4171.515659877232,4300.225029287752,128.70936941051968,3.0854341660150357
2023-03-07,4170.04704938616,4291.541879710853,121.49483032469288,2.913512219066621
2023-03-08,4172.984235491072,4276.468288052052,103.48405256098067,2.4798572609225973
2023-03-09,4177.389997209822,4278.991729337757,101.60173212793507,2.4321821088238655
2023-03-10,4180.327183314732,4318.124119281916,137.79693596718425,3.296319400959427
2023-03-13,4184.732945033482,4272.04075959256,87.307814559078,2.086341367677871
2023-03-14,4182.530064174107,4344.1040735551705,161.57400938106366,3.8630686905287903
2023-03-15,4181.795758928572,4329.666904822394,147.87114589382236,3.536068101319917
2023-03-16,4173.718540736607,4361.357596615754,187.63905587914724,4.495728546324818
2023-03-17,4172.249930245535,4365.004836430313,192.7549061847776,4.619927123431795
2023-03-20,4172.249930245535,4368.604527405571,196.35459716003606,4.706204097137601
2023-03-21,4183.998639787947,4360.190211650874,176.19157186292705,4.211081002451205
2023-03-24,4203.824497767857,4363.454012748508,159.62951498065104,3.7972449864501
2023-03-27,4223.521937779018,4392.8983266851665,169.37638890614835,4.0103115693822255
2023-03-28,4238.701171875,4361.501462334663,122.8002904596633,2.8971207329848707
2023-03-29,4259.357770647322,4351.617399765173,92.25962911785155,2.1660455422092957
2023-03-30,4273.218331473215,4382.379060390659,109.16072891744443,2.5545319815149883
2023-03-31,4285.025913783482,4385.090563431802,100.06464964832048,2.33521690794089
2023-04-03,4305.210553850447,4374.701751645121,69.49119779467401,1.6141184484583047
2023-04-04,4322.270647321428,4379.472485188283,57.201837866854476,1.3234210102577277
2023-04-05,4353.35724748884,4399.593569018996,46.2363215301566,1.0620842467460543
2023-04-06,4377.685337611607,4429.057390171777,51.37205256017023,1.1734980611511465
2023-04-10,4403.257080078125,4428.832447585855,25.575367507730334,0.580828396857459
2023-04-11,4421.485909598215,4475.903969691959,54.418060093744316,1.2307640735801721
2023-04-12,4445.738978794643,4480.3595397746285,34.620560979985385,0.7787357994951816
2023-04-13,4453.762660435268,4512.992673946947,59.23001351167932,1.329887064657611
2023-04-14,4456.211879185268,4525.510210693088,69.29833150781997,1.555095075965953
2023-04-17,4457.755440848215,4555.362347366824,97.60690651860932,2.1895976083433784
2023-04-18,4464.701381138393,4575.948556381978,111.24717524358493,2.49170472438673
2023-04-26,4466.24494280134,4588.040591976428,121.79564917508833,2.7270257394054855
2023-04-27,4471.647356305803,4597.416247725704,125.76889141990068,2.8125851928494447
2023-04-28,4472.419154575893,4624.9244704621215,152.50531588622835,3.4099065989866952
2023-05-02,4471.647391183035,4607.802621110371,136.1552299273353,3.04485613502977
2023-05-03,4473.19091796875,4618.399306668867,145.2083887001172,3.2461925136442757
2023-05-04,4470.10382952009,4586.300792138429,116.19696261833906,2.599424242698496
2023-05-05,4470.10382952009,4635.210259763652,165.1064302435625,3.69357036302417
2023-05-08,4471.647391183035,4615.473224250368,143.8258330673325,3.216394775467334
2023-05-09,4468.560302734375,4607.323475114342,138.76317237996682,3.1053216915312896
2023-05-10,4463.9296875,4606.745573836688,142.81588633668798,3.199331000589108
2023-05-11,4462.386125837053,4612.082016647427,149.69589081037338,3.354615369199891
2023-05-12,4448.494210379465,4601.2561212994815,152.76191092001682,3.43401393135647
2023-05-15,4443.863560267857,4582.062239835131,138.19867956727376,3.1098767478573026
2023-05-16,4432.441336495535,4572.016633132119,139.57529663658352,3.148948537397616
2023-05-17,4420.09294782366,4580.5510401860765,160.4580923624162,3.630197243734923
2023-05-19,4412.375209263393,4562.101480936932,149.72627167353858,3.3933259202254935
2023-05-22,4415.462297712053,4538.231354007516,122.76905629546218,2.7804349356369102
2023-05-23,4407.744559151785,4520.827259622481,113.08270047069527,2.565545687893869
2023-05-24,4398.483293805803,4536.509232584128,138.02593877832442,3.1380348533482088
2023-05-25,4398.483293805803,4506.9911569865035,108.50786318070004,2.4669381678340585
2023-05-26,4395.396205357143,4485.855697917377,90.45949256023414,2.0580509317904356
2023-05-29,4396.939732142857,4487.248635068684,90.30890292582717,2.053903588117069
2023-05-30,4403.113909040178,4500.186796162484,97.07288712230547,2.204641740541891
2023-05-31,4401.570347377232,4483.637971284356,82.06762390712447,1.8645078331197453
2023-06-05,4400.026820591518,4443.046502534222,43.019681942703755,0.9777140844091582
2023-06-06,4403.113909040178,4475.566251012823,72.45234197264472,1.6454796189553584
